Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
10:22	f1zp	208680	Active or Passive [26672]	and attested by the whole nation of the Jews, was directed by a holy angel	1	If your language does not use these passive forms, you could express the ideas in active form or in another way that is natural in your language. Alternate translation: “about whom the whole nation of the Jews testifies, received instructions from a holy angel”
10:22	yhrh	208681	Hyperbole [26695]	the whole nation of the Jews	1	Luke says **whole** as a generalization for emphasis. Alternate translation: “the Jewish people”
10:22	mwh4	208682	Metonymy [26707]	words	1	The messengers are using the term **words** to mean what Peter would say to Cornelius by using words. Alternate translation: “a message”
10:23	zzdx	208683	Assumed Knowledge and Implicit Information [26687]	Therefore, having invited them, he hosted them	1	The implication is that the journey to Caesarea was too long for them to begin that afternoon. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “But since the journey to Caesarea was too long for them to make that day, Peter invited the men into Simon’s house and hosted them there overnight”
10:23	av0j	208684	Idiom [26697]	arising	1	Here the word **arising** means that Peter took action to prepare, not that he stood up from a seated or lying position. Alternate translation: “after packing for a journey”
10:23	a9t4	208685	Metaphor [26706]	some of the brothers	1	Luke is using the term **brothers** to mean people who share the same faith. Alternate translation: “some fellow believers”
10:24	ai62	208686		on the next day	1	The **next day** means the day after they left Joppa. The journey to Caesarea took longer than one day. Alternate translation: “on the following day”
10:25	adlz	208687	Symbolic Action [26816]	and} falling down at {his} feet	1	Be sure that it is clear in your translation that Cornelius did not fall down accidentally. He knelt down at Peter’s feet as a gesture to honor him. Alternate translation: “kneeling down and putting his face close to Peter’s feet to honor him”
10:26	pfes	208688	Statements — Other Uses [26677]	Arise! I too am a man myself	1	Peter is using the statement form to give a mild rebuke or correction to Cornelius. It may be clearer for your readers if you translate this as an imperative. Alternate translation: “Stop doing that! I am only a man, as you are”
10:27	hluc	208689	Pronouns — When to Use Them [26838]	talking with him, he went in	1	The pronoun **him** refers to Cornelius, and the pronoun **he** refers to Peter. Alternate translation: “talking with Cornelius, Peter went in”
10:27	p90s	208690	Irregular Use of Tenses [26817]	finds	1	To call attention to a development in the story, here Luke uses the present tense in past narration. If it would not be natural to do that in your language, you could use the past tense in your translation. Alternate translation: “found” (See also: Pronouns — When to Use Them)
10:27	itpi	208691	Active or Passive [26672]	many gathered together	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “many people whom Cornelius had gathered together”
10:28	c37e	208692	Assumed Knowledge and Implicit Information [26687]	how unlawful it is for a Jewish man	1	This phrase refers to the requirements of the Jewish religious law. Alternate translation: “that the Jewish law forbids a Jewish man”
10:28	r2xa	208693	Assumed Knowledge and Implicit Information [26687]	with a foreigner	1	Here, the term **foreigner** refers to people who are not Jews. It is not a reference to where they live. Alternate translation: “a Gentile”
10:28	odp8	208694	When Masculine Words Include Women [26690]	man	1	Although the term **man** is masculine, Peter is using the word in a generic sense that includes both men and women. Alternate translation: “person”
10:28	j1ow	208695	Doublet [26680]	common or unclean	1	The words **common** and **unclean** mean similar things. Peter may be using them together for emphasis. Alternate translation: “unacceptable to God”
10:29	ahm7	208696	Active or Passive [26672]	having been summoned	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “when you summoned me”
10:29	e6vl	208697	Forms of ‘You’ — Singular [26735]	did you summon	1	The word **you** is plural. Peter is speaking to everyone who has gathered in the home of Cornelius. Use the plural form in your translation if your language marks that distinction.
10:30	vcfo	208698	Textual Variants [26819]	Four days ago, at this hour, I was praying at the ninth {hour} in my house	1	Some ancient texts say, “From the fourth day until this hour, I was fasting, and at the ninth hour I was praying in my house.” If a translation of the Bible already exists in your area, you could consider using the reading in that translation. If there is not already a Bible translation in your area, you may wish to follow the reading of ULT.
10:30	tqmo	208699	Idiom [26697]	Four days ago	1	In the idiom of this culture, today was the “first day,” yesterday was the “second day,” the day before yesterday was the “third day,” and the day before that was the “fourth day” or **Four days ago**. You may wish to express this in your translation in the way your own culture reckons time. Alternate translation, as in UST: “Three days ago”
10:30	uaso	208700	Idiom [26697]	this hour	1	Cornelius is using the term **hour** to mean a particular time. Alternate translation: “this time”
10:30	sqdo	208701	Nominal Adjectives [26708]	at the ninth {hour	1	Cornelius is using the adjective **ninth** as a noun. ULT adds **hour** to show this. Your language may use adjectives in the same way. If not, you could translate this word with an equivalent phrase. See how you translated this expression in 10:3.
10:30	tuei	208702	Idiom [26697]	at the ninth {hour	1	In this culture, people began counting the hours each day beginning around daybreak at six o’clock in the morning. If it would be clearer in your language, you could express this in the way the people of your culture reckon time. See how you translated this expression in 10:3.
10:30	aucj	208703	Ordinal Numbers [26807]	at the ninth {hour	1	If you decide to translate this in the way that the biblical culture reckoned time, but your language does not use ordinal numbers, you could use a cardinal number here. Alternate translation: “hour nine”
10:30	elxs	208704	Assumed Knowledge and Implicit Information [26687]	at the ninth {hour	1	This was the normal afternoon prayer time for Jews. Cornelius, as a Gentile who worshiped the God of Israel, would have praying at this time. Alternate translation: “during my usual afternoon prayer time”
10:30	mdn7	208705	Metaphor [26706]	behold, a man	1	Cornelius is using the term **behold** to focus Peter’s attention on how suddenly this **man** appeared. Your language may have a comparable expression that you can use in your translation. Alternate translation: “just then a man”
10:30	yil6	208706	Assumed Knowledge and Implicit Information [26687]	a man	1	Luke says in 10:3 that Cornelius saw an angel. Cornelius calls him **a man** here because the angel appeared to him in human form. you could state that explicitly in your translation if your readers might be confused otherwise. Alternate translation: “an angel in human form”
10:31	vaz7	208707	Quotes within Quotes [26721]	he says, ‘Cornelius, your prayer has been heard, and your alms have been remembered before God	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “he told me that my prayer had been heard and that my alms had been remembered before God”
10:31	mbxv	208708	Irregular Use of Tenses [26817]	he says	1	To call attention to a development in the story, here Cornelius uses the present tense in past narration. If it would not be natural to do that in your language, you could use the past tense in your translation. Alternate translation: “he said”
10:31	ntwj	208709	Active or Passive [26672]	your prayer has been heard, and your alms have been remembered before God	1	If your language does not use these passive forms, you could express the ideas in active form or in another way that is natural in your language. Alternate translation: “God has heard your prayer and has remembered your alms”
10:31	q5g8	208710	Idiom [26697]	have been remembered before God	1	The word **remembered** does not imply that God had forgotten about these **alms**. Rather, it means that God is aware of Cornelius’s devotion and generosity and is pleased with them. See how you translated the similar expression in 10:4. Alternate translation: “God is aware of your alms and is pleased with them”
10:31	fzsb	208711	Idiom [26697]	before	1	Here the word **before** is being used. Alternate translation: “in the presence of”
10:32	hrse	208712	Quotes within Quotes [26721]	Therefore, send to Joppa and summon Simon who is called Peter. He is being hosted in the house of Simon, a tanner, by the sea	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “He said I should therefore send to Joppa and summon Simon who is called Peter, who was being hosted in the house of Simon, a tanner, by the sea”
10:32	tda2	208713	Active or Passive [26672]	who is called Peter	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “whom people call Peter”
10:32	ue35	208714	Active or Passive [26672]	He is being hosted	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “He is a guest”
10:32	itdu	208715	Textual Variants [26819]	summon Simon  &  by the sea	1	Some ancient manuscripts add at the end of this verse, “When he comes, he will speak to you.” If a translation of the Bible already exists in your area, you could consider using the reading in that translation. If there is not already a Bible translation in your area, you may wish to follow the reading of ULT.
10:33	rzg5	208716	Forms of ‘You’ — Singular [26735]	you,  &  you  &  you	1	The word **you** is singular in each of these instances. Even though Peter came with other believers, Cornelius is addressing Peter directly. So use the singular form of “you” in your translation if your language makes that distinction.
10:33	p12r	208717	Politeness [26837]	and you did well {in} coming	1	This expression is a polite way of thanking Peter for coming. Alternate translation: “and we are grateful to you for coming”
10:33	qz0k	208718	Exclusive and Inclusive ‘We’ [26685]	we	1	Cornelius is using the word **we** to refer to himself and to his guests, but not to Peter and the believers who came with him, so use the exclusive form of that word if your language marks that distinction.
10:33	oqjb	208719	Idiom [26697]	before God	1	Cornelius is using the word **before**. Alternate translation: “in the presence of God”
10:33	ywhy	208720	Active or Passive [26672]	the things you have been instructed by the Lord {to say	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “the things that the Lord has told you to say”
10:33	ah2q	208721	Textual Variants [26819]	the things you have been instructed by the Lord {to say	1	Some ancient manuscripts read “instructed by the Lord.” ULT follows that reading. Other ancient manuscripts read “instructed by God to say.” If a translation of the Bible already exists in your area, you could consider using the reading in that translation. If there is not already a Bible translation in your area, you may wish to follow the reading of ULT.
10:34	ohoa	208722	Making Assumed Knowledge and Implicit Information Explicit [26688]	opening {his} mouth, Peter said	1	It might seem that the expression **opening his mouth … said** contains redundant information that would be unnatural to express in your language. If so, you could abbreviate it. Alternate translation: “Peter replied”
10:34	x3r9	208723		a favoritism-shower	1	Alternate translation: “one who shows favoritism”
10:34	cec0	208724	Assumed Knowledge and Implicit Information [26687]	God is not a favoritism-shower	1	As the next verse shows, Peter means implicitly that God does not favor Jewish people above people of other nations. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “God does not favor Jewish people above people of other nations”
10:35	jjgw	208725		the one fearing him and working righteousness	1	Here, **fearing** has the sense of deep respect and awe. Alternate translation: “anyone who sincerely worships him and works righteousness”
10:35	n0q8	208726	Abstract Nouns [26671]	the one fearing him and working righteousness	1	If your language does not use an abstract noun for the idea of **righteousness**, you could express the same idea in another way. Alternate translation: “anyone who worships him and does righteous deeds” or “anyone who worships him and does what is right”
10:36	krco	208727	Assumed Knowledge and Implicit Information [26687]	The word	1	Here Peter is implicitly saying to Cornelius and his guests that they know about this **word**; he says that explicitly in the next verse. If it would be helpful to your readers, you could state “You know the word” in this verse as well.
10:36	msui	208728	Metonymy [26707]	The word	1	Peter is using the term **word** to mean what God said to the Israelites by using words. Alternate translation: “The message”
10:36	wlmi	208729	Metaphor [26706]	to the sons of Israel	1	Peter is using the word **sons** to mean “descendants.” He is speaking of the Israelites, who were descendants of the patriarch Jacob, also known as Israel. Alternate translation: “to the people of Israel”
10:36	tn8n	208730	Abstract Nouns [26671]	proclaiming peace through Jesus Christ	1	If your language does not use an abstract noun for the idea of **peace**, you could express the same idea in another way. Alternate translation: “proclaiming that Jesus Christ reconciles us to God”
10:36	wrvx	208731		of all	1	The word **all** could mean: (1) all people groups, both Jewish and non-Jewish. Alternate translation: “of all people, whether or not they are Jews” (2) all created things. Alternate translation: “of everything in God’s creation”
10:37	aofu	208732	Metonymy [26707]	you know the word	1	Peter is using the term **word** to mean the things that happened through the life and ministry of Jesus. It may be helpful to begin a new sentence here. Alternate translation: “You know the things”
10:37	stay	208733	Hyperbole [26695]	throughout all Judea	1	Peter says **all** as a generalization for emphasis. Alternate translation: “in many places in Judea”
10:37	hl6i	208734		after the baptism that John announced	1	Alternate translation: “after John preached to the people that they should repent and then baptized them”
10:38	ynpa	208735	Information Structure [26700]	Jesus, the one from Nazareth, how God anointed him	1	It may be helpful to put the information about God anointing before the information that it was Jesus whom God anointed. Alternate translation: “how God anointed Jesus, the one from Nazareth,”
10:38	l3aj	208736	Assumed Knowledge and Implicit Information [26687]	Jesus, the one from Nazareth, how God anointed him	1	Peter is once again saying implicitly that Cornelius and his guests know about the things he is describing. If it would be helpful to your readers, you could indicate that explicitly. It may be helpful to begin a new sentence here. Alternate translation: “You know how God anointed Jesus, the one from Nazareth,”
10:38	zptq	208737	Metaphor [26706]	God anointed him with the Holy Spirit and with power	1	Peter speaks of the Holy Spirit and of God’s power as if they could be poured over someone like oil. Alternate translation: “God enabled him to do powerful works through the Holy Spirit”
10:38	xty0	208738	Abstract Nouns [26671]	doing good	1	If your language does not use an abstract noun for the idea of **good**, you could express the same idea in another way. Alternate translation: “doing good things” or “helping people”
10:38	qbam	208739	Hyperbole [26695]	all the ones being oppressed by the devil	1	Peter says **all** as a generalization for emphasis. Alternate translation: “those who were oppressed by the devil” or “many people who were oppressed by the devil”
10:38	yc7g	208740	Idiom [26697]	God was with him	1	The expression **was with him** is an idiom. See how you translated it in 7:9. Alternate translation: “God was helping him”
10:39	wzwu	208741	Exclusive and Inclusive ‘We’ [26685]	we {are} witnesses	1	Here, **we** refers to Peter and the apostles and believers who were with Jesus when he was on earth, not to Cornelius and his guests. So use the exclusive form of “we” if your language marks that distinction.
10:39	ap70	208742	Pronouns — When to Use Them [26838]	whom they also killed	1	The pronoun **whom** refers to Jesus, and the pronoun **they** refers to the enemies of Jesus, the Jewish leaders who conspired against him and the Romans who ordered and carried out his execution. It may be helpful to begin a new sentence here. Alternate translation: “Also, the enemies of Jesus killed him”
10:39	moup	208743	Metonymy [26707]	hanging him on a tree	1	This expression refers to crucifixion. Peter says **tree** to mean a wooden cross. Alternate translation: “crucifying him”
10:40	vd98	208744	Pronouns — When to Use Them [26838]	this one	1	The demonstrative pronoun **this** refers to Jesus. Alternate translation: “Jesus”
10:40	i3of	208745	Idiom [26697]	God raised this one up	1	Here, **raised … up** is an idiom that refers to causing someone who has died to become alive again. Alternate translation: “God caused Jesus to become alive again”
10:40	j0lj	208746	Idiom [26697]	on the third day	1	In the idiom of this culture, today was the “first day,” tomorrow was the “second day,” and the day after tomorrow was the “third day.” You may wish to express this in your translation in the way your own culture reckons time. Alternate translation: “two days after he died”
10:40	me4s	208747	Active or Passive [26672]	caused him to be seen	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “permitted many people to see him”
10:41	b7ut	208748	Active or Passive [26672]	not by all the people, but by witnesses chosen beforehand by God—by us who ate and drank with him after he rose from the dead	1	If you used an active form instead of “caused him to be seen” in the previous verse, you could adjust the language here to fit. It may be helpful to make this two new sentences. Alternate translation: “All the people did not see him, but witnesses chosen beforehand by God saw him. We who ate and drank with him after he rose from the dead saw him”
10:41	kvbc	208749	Assumed Knowledge and Implicit Information [26687]	by all the people	1	By **the people**, Peter means the Jewish people. Alternate translation: “by all the Jewish people”
10:41	wqg4	208750	Active or Passive [26672]	chosen beforehand by God	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “whom God chose beforehand”
10:41	n2ue	208751	Synecdoche [26729]	who ate and drank with him	1	Peter is using one activity that he and the other apostles did with Jesus after he rose from the dead, eating and drinking (that is, sharing meals), to mean spending time with him personally. Alternate translation: “who spend time with him personally”
10:41	vcen	208752	Nominal Adjectives [26708]	from the dead	1	Peter is using the adjective **dead** as a noun. Your language may use adjectives in the same way. If not, you could translate this word with an equivalent phrase. Alternate translation: “those who have died”
10:42	w5ca	208753	Exclusive and Inclusive ‘We’ [26685]	us	1	Here, **us** refers to Peter and the other apostles whom Jesus chose, not to Cornelius and his guests. So use the exclusive form of “us” if your language marks that distinction.
10:42	c9ui	208754	Assumed Knowledge and Implicit Information [26687]	to the people	1	Connecting Statement:\n\nBy **the people**, Peter means the Jewish people. Alternate translation: “to the Jewish people”
10:42	w74y	208755	Active or Passive [26672]	the one chosen by God	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “the one whom God has chosen”
10:42	yryi	208756	Nominal Adjectives [26708]	of the living and the dead	1	Peter is using the adjectives **living** and **dead** as nouns. (The word **living** is actually a participle, but it functions here as an adjective.) Your language may use adjectives in the same way. If not, you could translate these words with equivalent phrases. Alternate translation: “of those who are alive and of those who have died”
10:43	i7y2	208757	Pronouns — When to Use Them [26838]	To this one	1	The demonstrative pronoun **this** refers to Jesus. Alternate translation: “To Jesus”
10:43	btm8	208758	Metonymy [26707]	through his name	1	Peter is speaking of the **name** of Jesus. It could mean: (1) his actions. Alternate translation: “through what Jesus has done for them” (2) his authority. Alternate translation: “by his authority”
10:44	y7ao	208759	Metaphor [26706]	the Holy Spirit fell on all the ones listening to {his} word	1	Luke is speaking of the Holy Spirit as if it could fall on Cornelius and his guests. See how you translated the similar expression in 8:16. Alternate translation: “all the ones listening to his word received the Holy Spirit”
10:44	a0qw	208760	Hyperbole [26695]	all the ones listening to	1	While the believers who came with Peter from Joppa were also **listening** to his message, the word **all** refers to the Gentiles who were present. Alternate translation: “Cornelius and his guests, who were listening”
10:44	z3jq	208761	Metonymy [26707]	his} word	1	Luke is using the term **word** to mean what Peter was saying by using words. Alternate translation: “his message”
10:45	ful9	208762	Nominal Adjectives [26708]	the faithful	1	Luke is using the adjective **faithful** as a noun, to mean people who have faith in Jesus. Your language may use adjectives in the same way. If not, you could translate this word with an equivalent phrase. Alternate translation: “the faithful men”
10:45	sfnq	208763	Metonymy [26707]	from the circumcision	1	Luke is using the term **circumcision** by association to identify these **faithful** people as Jewish. Alternate translation: “who were Jewish”
10:45	fjdw	208764	Active or Passive [26672]	the gift of the Holy Spirit was poured out	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “God was pouring out the gift of the Holy Spirit”
10:45	k4my	208765	Metaphor [26706]	was poured out	1	Luke is speaking of the Holy Spirit as if he were a liquid that could be poured on people. This image implies a generous amount. Alternate translation: “was generously given”
10:45	m7er	208766	Possession [26717]	the gift of the Holy Spirit	1	Luke is using a possessive form to identify **the Holy Spirit** as a **gift** from God. Alternate translation: “the Holy Spirit as a gift”
10:45	audq	208767	Assumed Knowledge and Implicit Information [26687]	also on the Gentiles	1	Here, **also** refers to the fact that the Holy Spirit had already been given to the Jewish believers. Alternate translation: “on the Gentiles, as it had been on Jewish believers”
10:46	m1wg	208768	Assumed Knowledge and Implicit Information [26687]	speaking in languages	1	The implication is that at least some of these **languages** were ones that the Jews recognized and could understand, but which Cornelius and his guests had not learned. This caused the Jews to acknowledge that the Holy Spirit was giving them the ability to speak these languages. Alternate translation: “speaking in languages they had not learned”
10:47	zcjr	208769	Double Negatives [26679]	No one is able to withhold water, is he, so that these are not baptized who have received the Holy Spirit as we also {did	1	The first word of this sentence in Greek is a negative word that can be used to turn a negative statement into a question that expects a negative answer. ULT shows this by adding **is he**. Your language may have other ways of asking a question that expects a negative answer, for example, by changing the word order of a positive statement. Translate this in the way that would be clearest in your language. Alternate translation: “Is anyone able to withhold water so that these are not baptized who have received the Holy Spirit as we also did”
10:47	r3pv	208770	Rhetorical Question [26724]	No one is able to withhold water, is he, so that these are not baptized who have received the Holy Spirit as we also {did	1	Peter is using the question form to convince the Jewish Christians that the Gentile believers should be baptized. If you would not use a rhetorical question for this purpose in your language, you could translate this as a statement or an exclamation. Alternate translation: “No one should withhold water so that these are not baptized who have received the Holy Spirit as we also did!”
10:47	sluj	208771	Double Negatives [26679]	No one is able to withhold water, is he, so that these are not baptized who have received the Holy Spirit as we also {did	1	Even if the negative question is turned into a positive statement, a double negative still remains, the negative verb **withhold** and the negative particle **not**. This double negative can also be stated in positive form. Alternate translation: “We should make water available so that these can be baptized who have received the Holy Spirit as we also did!”
10:47	b7qp	208772	Synecdoche [26729]	water	1	Peter is using **water**, one thing necessary for baptism, to signify all the means and permission necessary for baptism. Alternate translation: “the means and permission”
10:47	e185	208773	Active or Passive [26672]	so that these are not baptized	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “so that these do not receive baptism”
10:48	puj7	208774	Assumed Knowledge and Implicit Information [26687]	he commanded them to be baptized	1	The implication is that Peter and the believers who accompanied him from Joppa would be the ones to baptize the Gentile believers. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “Peter told the Gentile believers to allow the Jewish Christians to baptize them”
10:48	v6yz	208775	Active or Passive [26672]	he commanded them to be baptized	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “he commanded them to receive baptism”
10:48	x0gi	208776	Idiom [26697]	to be baptized in the name of Jesus Christ	1	Here, **in the name** is an idiomatic way of saying “on the basis of naming.” Peter commanded Cornelius and his guests to acknowledge Jesus as the Messiah as the basis of their baptism for the forgiveness of their sins, as described in 10:43. See how you translated the similar expression in 2:48. Alternate translation: “on the basis of naming Jesus as the Christ” or “upon acknowledging that Jesus is the Messiah”
11:1	za6f	208777	Introduction of a New Event [26833]	Now	1	Luke uses the word translated **Now** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
11:1	u6ut	208778	Metaphor [26706]		1	Luke is using the term **brothers** to mean people who share the same faith. Alternate translation, as in UST: “the other believers”
11:1	yz6x	208779	Metonymy [26707]	the word of God	1	Luke is using the term **word** to mean the message about Jesus that Peter, by using words, shared with Cornelius and his guests. Alternate translation: “the message about Jesus”
11:2	t0ai	208780	Idiom [26697]	came up to Jerusalem	1	Luke says that Peter **came up** because that was the customary way of speaking about traveling to Jerusalem, since that city is up on a mountain. Alternate translation: “returned to Jerusalem”
11:2	chhm	208781	Metonymy [26707]	those from the circumcision	1	As in 10:45, Luke is using the term **circumcision** by association to identify as Jewish these believers who disputed with Peter. They were likely to have been strictly observant Jews who followed the teaching of the Pharisees about Jews visiting with Gentiles. See the discussion of this in the General Notes to Chapter 10. Alternate translation: “some believers who were strictly observant Jews”
11:3	inpn	208782	Direct and Indirect Quotations [26719]	saying that he went in to men having foreskins and ate with them	1	It may be more natural in your language to have a direct quotation here. Alternate translation: “saying, ‘You went in to men having foreskins and ate with them!’”
11:3	lhxy	208783	Assumed Knowledge and Implicit Information [26687]	he went in to	1	This expression implicitly means that Peter went in to the home of these **men**. Alternate translation: “he went into the home of”
11:3	luuo	208784	Metonymy [26707]	men having foreskins	1	The phrase **men having foreskins** refers to men who are not Jewish. It is a crude and dismissive expression, and it shows that these Jewish believers still regarded Gentiles with disdain. Alternate translation: “uncircumcised men” or “Gentiles”
11:4	tjn3	208785	Making Assumed Knowledge and Implicit Information Explicit [26688]	Peter, beginning, was explaining to them	1	Luke is using the word **beginning** to indicate that Peter had been doing something else (listening to the complaints against him) but then began to do something new when he had the opportunity to speak. It might not be necessary to translate the word **began**, since it may seem to convey redundant information that would be not be natural to express in your language. Alternate translation: “Peter explained to them”
11:5	xhrv	208786	Active or Passive [26672]	being let down	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. It may be helpful to begin a new sentence here. Alternate translation: “It appeared as if someone was letting it down”
11:6	sthb	208787	Assumed Knowledge and Implicit Information [26687]	and the birds of the sky	1	From Peter’s response in 11:8, the implication is that the law of Moses commanded the Jews not to eat some of the creatures in the container. See how you translated this in 10:12. Alternate translation: “ … and the birds of the sky, including some that the law of Moses commanded Jews not to eat”
11:7	eah9	208788	Personification [26716]	a voice saying to me	1	Peter speaks of this **voice** as if it were a living thing that could speak on its own. Alternate translation: “someone saying to me”
11:7	cf93	208789	Idiom [26697]	arising	1	Here the term **arising** means that the voice wanted Peter to take action, not that the voice wanted him to stand up from a seated position. Alternate translation, as in UST: “Go ahead”
11:7	ahbr	208790	Quotes within Quotes [26721]	saying to me, ‘Peter, arising, kill and eat	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “telling me to arise and kill and eat”
11:8	zsml	208791	Quotes within Quotes [26721]	But I said, ‘By no means, Lord; for the common or unclean has never entered into my mouth	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “But I told the Lord that I would certainly not do that, since the common or unclean had never entered my mouth”
11:8	sda2	208792	Exclamations [26684]	By no means	1	**By no means** is an exclamation that communicates a strong refusal to do or even to consider something. Use an exclamation that is natural in your language for communicating this. See how you translated this in 10:14. Alternate translation: “No, never”
11:8	r474	208793	Doublet [26680]	the common or unclean	1	The words **common** and **unclean** mean similar things. Peter may be using them together for emphasis. Alternate translation: “food that our Jewish laws forbid us to eat”
11:8	w2ff	208794	Assumed Knowledge and Implicit Information [26687]	the common or unclean has never entered into my mouth	1	The implication is that some the animals in the container were forbidden for Jews to eat. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “the common or unclean, like some of those animals, has never entered into my mouth”
11:8	n8ax	208795	Double Negatives [26679]	the common or unclean has never entered into my mouth	1	If it would be clearer in your language, you could use a positive expression to translate this double negative that consists of the word **never** and the negative terms **common** and **unclean**. Alternate translation: “only what is holy and clean has ever entered into my mouth”
11:8	x592	208796	Synecdoche [26729]	the common or unclean has never entered into my mouth	1	Peter is using one part of the eating process to represent the entire process. If it would be clearer for your readers, you could use an equivalent expression from your culture or plain language. Alternate translation: “I have never eaten anything that is common or unclean”
11:9	mfae	208797	Quotes within Quotes [26721]	from heaven, ‘What God has cleansed, you, do not make common	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “from heaven and told me that I must not make common what God had cleansed”
11:9	aeui	208798	First, Second or Third Person [26670]	What God has cleansed	1	If God is the speaker, he is referring to himself in the third person. If it would be helpful in your language, you could use the first person in your translation. Alternate translation: “What I, God, have cleansed”
11:9	o6w6	208799	Pronouns — When to Use Them [26838]	you, do not make common	1	The voice is adding the pronoun **you** for emphasis. If your language does not ordinarily use a pronoun with the imperative but can do so for emphasis, it would be appropriate to do that here. You could also express the emphasis in another way. Alternate translation: “you must not make common”
11:10	ahjn	208800	Assumed Knowledge and Implicit Information [26687]	this happened three times	1	This could mean: (1) that the voice told Peter three times to kill and eat, Peter refused three times, and each time the voice told him not to call unclean what God had cleansed. Alternate translation: “Peter had this exchange with the voice three times” (2) that after Peter first refused, the voice said to him three times, “What God has cleansed, you must not make common.” Alternate translation: “the voice said this three times” See how you translated this in 10:16.
11:10	lykx	208801	Active or Passive [26672]	everything was pulled up	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “it appeared as if someone was pulling everything up”
11:11	ozu9	208802	Exclusive and Inclusive ‘We’ [26685]	we were	1	The term **we** refers to Peter and the others in the house in Joppa. It does not include his current audience in Jerusalem. So use the exclusive form of “we” if your language marks that distinction.
11:11	lx8j	208803	Metaphor [26706]	behold, immediately	1	Peter is using the term **behold** to focus his listeners’ attention on how soon after his vision ended these **three men** arrived. Your language may have a comparable expression that you can use in your translation. Alternate translation: “right then”
11:11	tasz	208804		immediately	1	Alternate translation: “immediately” or “at that exact moment”
11:11	zqfw	208805	Active or Passive [26672]	having been sent	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. It may be helpful to begin a new sentence here. Alternate translation: “Someone had sent them”
11:12	tmf3	208806	Assumed Knowledge and Implicit Information [26687]	not hesitating	1	This could mean: (1) that the Spirit did not want Peter to have any doubts or worries about going with the men, even though they were Gentiles. Alternate translation: “not worrying about it” (2) that the Spirit did not want Peter to feel that he should not be in the company of these men, because they were Gentiles. Alternate translation: “not making a distinction between these men and others you would associate with” See how you translated this in 10:20.
11:12	p2mn	208807	Metaphor [26706]	these six brothers	1	Peter is using the term **brothers** to mean people who share the same faith. Alternate translation: “these six fellow believers”
11:12	r05t	208808	Assumed Knowledge and Implicit Information [26687]	the house of the man	1	Peter implicitly means the **house** of Cornelius. Alternate translation: “the house of the man who had sent the messengers to me”
11:13	v332	208809	Exclusive and Inclusive ‘We’ [26685]	to us	1	The term **us** refers to Peter and the believers who came with him to Caesarea. It does not include his current audience in Jerusalem. So use the exclusive form of “us” if your language marks that distinction.
11:13	xpc8	208810	Active or Passive [26672]	Simon, called Peter	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. See how you translated the same phrase in 10:32. Alternate translation: “whom people call Peter”
11:14	kwnv	208811	Metonymy [26707]	words	1	The angel is using the term **words** to mean what Peter would say to Cornelius by using words. Alternate translation: “a message”
11:14	jrm6	208812	Forms of ‘You’ — Singular [26735]	you  &  you will be saved—you  &  your	1	All the instances of the words **you** and **your** in this verse are singular, since they refer to Cornelius. So use the singular forms of those word in your translation if your language marks that distinction.
11:14	jqmx	208813	Active or Passive [26672]	you will be saved	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. It is clear from the context that God will do the action. Alternate translation, as in UST: “God will save you”
11:14	dafm	208814	Metonymy [26707]	all your house	1	Here, **house** refers to an entire household living together. Alternate translation: “all the people living in your house”
